Zipcodes,Population,Latitude,Longitude
30349,75615,33.62189,-84.521194
30331,58302,33.724791,-84.580202
30318,51339,33.793085,-84.445357
30319,38942,33.877272,-84.334042
30311,35919,33.725872,-84.468764
30350,35136,33.983238,-84.323001
30338,34591,33.944716,-84.318059
30341,34407,33.890567,-84.276228
30315,34232,33.706736,-84.37952
30344,33482,33.668748,-84.467656
30340,32560,33.898914,-84.254032
30328,31588,33.934558,-84.395657
30342,31450,33.88186,-84.3783
30316,31097,33.717587,-84.332246
30329,30050,33.826738,-84.32473
30310,28955,33.724113,-84.43129
30324,28561,33.819787,-84.360213
30345,25193,33.845094,-84.280948
30305,24938,33.834773,-84.388402
30309,23639,33.798463,-84.388284
30327,23145,33.864887,-84.423887
30306,22177,33.789038,-84.353583
30312,21458,33.743358,-84.383243
30339,20203,33.875915,-84.454631
30307,18315,33.774352,-84.336452
30360,17599,33.933808,-84.2662
30314,17541,33.757234,-84.433969
30308,16305,33.769122,-84.376454
30354,15962,33.659412,-84.389532
30317,13100,33.752136,-84.316501
30337,12083,33.642552,-84.446495
30346,6090,33.924714,-84.337984
30326,5623,33.849882,-84.361095
30313,4473,33.761368,-84.400934
30363,3004,33.793139,-84.396139
30303,1570,33.75288,-84.392426
